"","time","bbb_behavior","gpw_behavior","gwb_behavior","wwr_behavior","ybr_behavior","ygr_behavior","ywr_behavior","yyr_behavior","yyw_behavior"
"1",1,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"2",2,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"3",3,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"4",4,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"5",5,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"6",6,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"7",7,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"8",8,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"9",9,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"10",10,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"11",11,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"12",12,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"13",13,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"14",14,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"15",15,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"16",16,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"17",17,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"18",18,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"19",19,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"20",20,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"21",21,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"22",22,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"23",23,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"24",24,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"25",25,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"26",26,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"27",27,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"28",28,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"29",29,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"30",30,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"31",31,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"32",32,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"33",33,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"34",34,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"35",35,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"36",36,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"37",37,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"38",38,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"39",39,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"40",40,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"41",41,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"42",42,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"43",43,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"44",44,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"45",45,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"46",46,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"47",47,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"48",48,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"49",49,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"50",50,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"51",51,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"52",52,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"53",53,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"54",54,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"55",55,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"56",56,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"57",57,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"58",58,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"59",59,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"60",60,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"61",61,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"62",62,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"63",63,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"64",64,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"65",65,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"66",66,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"67",67,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"68",68,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"69",69,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"70",70,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"71",71,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"72",72,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Antennating Nestmate","Trash Maintenance","Brood Care","Resting"
"73",73,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"74",74,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"75",75,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"76",76,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"77",77,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"78",78,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"79",79,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"80",80,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"81",81,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"82",82,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"83",83,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"84",84,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"85",85,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"86",86,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"87",87,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"88",88,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"89",89,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"90",90,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"91",91,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"92",92,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"93",93,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"94",94,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"95",95,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"96",96,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"97",97,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"98",98,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"99",99,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"100",100,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"101",101,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"102",102,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"103",103,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"104",104,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"105",105,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"106",106,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"107",107,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"108",108,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"109",109,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"110",110,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"111",111,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"112",112,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"113",113,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"114",114,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"115",115,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"116",116,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"117",117,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"118",118,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"119",119,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"120",120,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"121",121,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"122",122,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"123",123,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"124",124,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"125",125,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"126",126,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"127",127,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"128",128,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"129",129,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"130",130,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"131",131,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"132",132,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"133",133,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"134",134,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"135",135,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"136",136,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"137",137,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"138",138,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"139",139,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"140",140,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"141",141,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"142",142,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"143",143,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"144",144,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"145",145,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"146",146,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"147",147,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"148",148,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"149",149,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"150",150,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"151",151,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"152",152,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"153",153,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"154",154,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"155",155,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"156",156,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"157",157,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"158",158,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"159",159,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"160",160,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"161",161,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"162",162,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"163",163,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"164",164,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"165",165,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"166",166,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"167",167,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"168",168,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"169",169,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"170",170,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"171",171,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"172",172,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"173",173,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"174",174,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"175",175,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"176",176,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"177",177,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"178",178,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"179",179,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"180",180,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"181",181,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"182",182,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"183",183,"Brood Care","Self Maintenance","Food Processing","Food Processing","Brood Care","Exploring","Resting","Brood Care","Resting"
"184",184,"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"185",185,"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"186",186,"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"187",187,"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"188",188,"Brood Care","Self Maintenance","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"189",189,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"190",190,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"191",191,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"192",192,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"193",193,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Exploring","Resting","Brood Care","Resting"
"194",194,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"195",195,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"196",196,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"197",197,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"198",198,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Resting","Brood Care","Resting"
"199",199,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"200",200,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"201",201,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"202",202,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"203",203,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Resting","Brood Care","Resting"
"204",204,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"205",205,"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"206",206,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"207",207,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"208",208,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"209",209,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"210",210,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"211",211,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"212",212,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"213",213,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"214",214,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"215",215,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"216",216,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"217",217,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"218",218,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"219",219,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"220",220,"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"221",221,"Brood Care","Food Processing","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"222",222,"Brood Care","Food Processing","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"223",223,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"224",224,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"225",225,"Brood Care","Food Processing","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"226",226,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"227",227,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"228",228,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"229",229,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"230",230,"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"231",231,"Brood Care","Exploring","Food Processing","Food Processing","Grooming","Antennating Nestmate","Exploring","Brood Care","Resting"
"232",232,"Brood Care","Exploring","Food Processing","Food Processing","Grooming","Antennating Nestmate","Exploring","Brood Care","Resting"
"233",233,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"234",234,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"235",235,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"236",236,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"237",237,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"238",238,"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"239",239,"Brood Care","Exploring","Food Processing","Food Processing","Nest Maintenance","Resting","Exploring","Brood Care","Resting"
"240",240,"Brood Care","Exploring","Food Processing","Food Processing","Grooming","Resting","Exploring","Brood Care","Resting"
"241",241,"Brood Care","Exploring","Food Processing","Food Processing","Grooming","Resting","Exploring","Brood Care","Resting"
