"","Colony","AntID","Date","Analyst","numUniqueTasks","degreeOfSpecialization","propResting","propBrood","propExploring","propAllogrooming","propAntennatingNestmate","propTrashMaintenance","propNestMaintenance","propSelfMaintenance","propFoodProcessing","numberOfTaskSwitches","numberOfAntennations","interboutInterval","boutLengthBC","boutLengthR","boutLengthFP","boutLengthTM","boutLengthAN","boutLengthNM","boutLengthSM","boutLengthE","boutLengthA","velocity","movementAreaForaging","movementAreaNest","colonySize","totalMass","sinuosityTrailNest","sinuosityTrailForaging","session","exploringLengthForaging","exploringLengthNest","probStop","probReturn","bcDistance","eDistance","fpDistance","rDistance","tmDistance","anDistance","nmDistance","smDistance","aDistance","bcSpeed","eSpeed","fpSpeed","rSpeed","tmSpeed","anSpeed","nmSpeed","smSpeed","aSpeed","bcTime","eTime","fpTime","rTime","tmTime","anTime","nmTime","smTime","aTime","bcjoulesPerMG","ejoulesPerMG","fpjoulesPerMG","rjoulesPerMG","tmjoulesPerMG","anjoulesPerMG","nmjoulesPerMG","smjoulesPerMG","ajoulesPerMG"
"35","17-22","WWW","04_09_2022","Divya_Murala",5,0.583020989505247,0,0.464767616191904,0.274362818590705,0,0,0,0.0449775112443778,0.103448275862069,0.112443778110945,19,0,11.125,44.2857142857143,0,37.5,0,0,30,34.5,26.1428571428571,0,12.6742883808582,229516.558296126,135719.241857149,66,0.3205,0.40501020420195,0.0921113164107322,1,287.817998568482,4021.86146520769,NA,NA,0.158030585119907,0.484064538824134,0.218689794519107,NA,NA,NA,0.00861920265653843,0.0501049259321199,NA,0.000509776081031959,0.00264516141433953,0.00291586392692143,NA,NA,NA,0.000287306755217948,0.000726158346842317,NA,310,183,75,0,0,0,30,69,0,3.20460105764638,3.49921305413171,3.53656097745093,0,0,0,3.17390770632824,3.23445459758601,0
"36","17-8","GGG","21_01_2022","Divya_Murala",8,0.521272590361446,0.194277108433735,0.0180722891566265,0.167168674698795,0,0.0421686746987952,0.0662650602409639,0.00753012048192771,0.435240963855422,0.0692771084337349,38,5,25.6163194444444,12,43,15.3333333333333,11,5.6,5,36.125,8.53846153846154,0,23.9512947882898,229386,87814.8182064,53,0.3221,0.328857303073087,0.268942817331416,1,5645.93900660133,206.78530270365,0.0574175824175824,0.14532967032967,0.0152732996557121,0.467347593369475,0.190784429780456,0.176069628286028,0.201778105145711,0.0853164225648175,0.01847300989397,0.524632014347239,NA,0.00127277497130934,0.00421033867900428,0.00414748760392295,0.00136488083942658,0.00458586602603888,0.00304701509160063,0.00369460197879399,0.00181533568978283,NA,12,111,46,129,44,28,5,289,0,3.30986947120831,3.71515534407996,3.70648399075457,3.32257701081289,3.7669656003925,3.55465546647117,3.64400087067428,3.38472476500037,0
"37","17-11","WWW","03_24_2022","Gailan_khanania",7,0.495314842578711,0.286356821589205,0,0.338830584707646,0.0374812593703148,0.0344827586206897,0.148425787106447,0,0.0434782608695652,0.110944527736132,74,10,11.2654513888889,0,63.6666666666667,5.69230769230769,12.375,2.3,0,3.22222222222222,8.37037037037037,6.25,26.3494321275424,359338.666662436,27486.8148335123,48,0.2707,0.316364602739546,0.378620214217923,1,11872.8381785735,253.079262125648,0.0416666666666667,0.262559354226021,NA,1.00038536747187,0.221512056166675,0.100318662675267,0.209487259592212,0.0950568636789558,NA,0.0257417888726448,0.0368736061902388,NA,0.00442648392686669,0.00299340616441453,0.000525228600394067,0.00211603292517385,0.00413290711647634,NA,0.000887647892160164,0.00147494424760955,0,226,74,191,99,23,0,29,25,0,3.74497618344338,3.54725922148372,3.20673299023437,3.42621096024315,3.70447236950319,0,3.25673477185503,3.33776209236186
"38","17-13","YWW","04_22_2022","Gailan_Khanania",8,0.530734632683658,0.32383808095952,0.136431784107946,0.344827586206897,0.00899550224887556,0.0119940029985007,0,0.0299850074962519,0.104947526236882,0.0389805097451274,49,3,5.08680555555556,45.5,27,8.66666666666667,0,2.66666666666667,6.66666666666667,11.6666666666667,11.5,1.5,15.6707126691141,277648.563957387,141893.362884658,24,0.1294,0.589627004348722,0.23379919388951,1,4653.79239177985,2616.35009072673,0.0833333333333333,0.2,0.0415206145273239,0.645039854366799,0.0825527436015284,0.132189951959507,NA,0.00711462660555255,0.0596244212156874,0.044171639751542,0.00230908094355444,0.000456270489311252,0.0028045211059426,0.00317510552313571,0.00061199051833105,NA,0.000889328325694068,0.00298122106078437,0.000631023425022029,0.00038484682392574,91,230,26,216,0,8,20,70,6,3.19721906950864,3.52119937958321,3.57232767634196,3.21870324284574,0,3.25696661566826,3.54557808335288,3.22132914953887,3.18736498447429
"39","17-17","GPY","09_03_2022","Gailan_Khanania",8,0.57847533632287,0.236173393124066,0,0.482810164424514,0.0448430493273543,0.0209267563527653,0.00747384155455904,0.0732436472346786,0.128550074738416,0.00597907324364723,63,6,11.149255952381,0,52.6666666666667,2,5,2.33333333333333,49,7.16666666666667,11.5357142857143,3,24.856933388827,234492,268784,8,0.056,0.359993404872083,0.124113767850554,1,5201.21401188112,7854.70222935928,0.0102040816326531,0.276530612244898,NA,1.26455451014297,0.0290437564016149,0.106178567036226,0.0247773921219656,0.0471282441947116,0.0699977929848365,0.106180827175392,0.0224629499494793,NA,0.00391502944316708,0.00726093910040372,0.000672016247064721,0.00495547842439311,0.00336630315676511,0.00142852638744564,0.00123466078110921,0.000748764998315976,0,323,4,158,5,14,49,86,30,0,3.67441251317562,4.13603651555237,3.22698479255336,3.8179597909521,3.59870657652836,3.33135797492125,3.3046109834337,3.23757356193433
"40","17-29","GRY","04_09_2022","Galian_Khanania",9,0.487068965517241,0.0419790104947526,0.109445277361319,0.430284857571214,0.0434782608695652,0.0134932533733133,0.0374812593703148,0.224887556221889,0.0704647676161919,0.0284857571214393,72,5,8.68729166666667,14.6,7,4.75,8.33333333333333,1.8,37.5,4.27272727272727,11.0384615384615,2.9,25.4552950898721,209800.184016297,145926.172681542,62,0.5442,0.260196869334521,0.155327350690754,1,2994.32946843487,7671.64137729262,0.033479020979021,0.219201631701632,0.0971182085372475,1.02720824342301,0.0603463837439214,0.0379619996437005,0.16494408907856,0.00341656300044307,0.235291313371922,0.0541206175349415,0.0727054242900517,0.00133038641831846,0.00357912279938332,0.00317612546020639,0.00135578570156073,0.00659776356314238,0.000379618111160341,0.00156860875581281,0.00115150250074344,0.00250708359620868,73,287,19,28,25,9,150,47,29,3.317817930514,3.62806859322159,3.57246839365981,3.32132218495866,4.04454039726154,3.18664359640309,3.35068467234364,3.2931379126859,3.48016291782359
"41","17-23","GRG","06_11_2021","Mariah_Merriam",5,0.675563909774436,0.511278195488722,0.0165413533834586,0.114285714285714,0,0.0496240601503759,0,0,0.308270676691729,0,31,9,6.01041666666667,11,48.5714285714286,0,0,3.66666666666667,0,41,8.44444444444444,0,5.88801130570135,0,105359.67921325,25,0.1207,0.32910420251371,0,1,NA,734.676062158613,0.211111111111111,0.3,0.0018267529103653,0.0688715608157936,0,0.0623963462479444,NA,0.0208557547300907,NA,0.258007165314725,NA,0.000166068446396845,0.000906204747576232,NA,0.000183518665435131,NA,0.000631992567578505,NA,0.00125857153812061,NA,11,76,0,340,0,33,0,205,0,3.15718086098788,3.2592949993406,NA,3.1595884095412,0,3.22146285890691,0,3.30790987087604,0
"42","17-6","WWW","02_07_2021","Mariah_Merriam",4,0.791735197368421,0,0.764802631578947,0.161184210526316,0,0.0361842105263158,0,0,0.0378289473684211,0,15,5,4.77083333333333,232.5,0,0,0,4.4,0,23,14,0,12.4992798028889,309132.5,54588.5859541,17,0.1432,0.0561171933392107,0.154408380939285,1,2641.82497181164,0,NA,NA,0.515697267795221,0.230485011085028,0,NA,NA,0.0650235128954576,NA,0.00636702001905499,NA,0.00110902638235531,0.00235188786821457,NA,NA,NA,0.0029556142225208,NA,0.000276826957350217,NA,465,98,0,0,0,22,0,23,0,3.28727762421896,3.45875108055134,NA,0,0,3.54204519323379,0,3.17246184354909,0
"43","17-15","GBB","03_24_2022","Nate_Maslanka",7,0.434121621621622,0.0225225225225225,0.036036036036036,0.405405405405405,0,0.160660660660661,0,0.136636636636637,0.115615615615616,0.123123123123123,87,26,11.5456597222222,6,7.5,7.45454545454545,0,4.11538461538461,30.3333333333333,5.92307692307692,9.64285714285714,0,23.2385885768816,23284.4731330602,368604.474351858,47,0.2413,0.248492300064621,0.177951713146943,1,128.732125890381,7983.54712803912,0.0544871794871795,0.231809856809857,0.109092718927368,0.623141103050083,0.157081764757881,0.0182105429682595,NA,0.29977802851872,0.0558381098873824,0.225684675128151,NA,0.00454552995530698,0.0023079300112966,0.00191563127753514,0.00121403619788397,NA,0.00280166381793196,0.000613605603158048,0.0029309698068591,NA,24,270,82,15,0,107,91,77,0,3.76140056716719,3.45268636155856,3.39856221292393,3.30176547843472,0,3.52080516908068,3.21892607071571,3.53864508535299,0
"44","17-16","WWW","04_22_2022","Nate_Maslanka",6,0.821107784431138,0.0119760479041916,0.00598802395209581,0.482035928143713,0,0.0269461077844311,0,0,0.0029940119760479,0.470059880239521,48,12,10.0798611111111,4,8,19.625,0,1.5,0,2,18.9411764705882,0,36.1455594522265,299191.063365282,38758.4130164559,7,NA,0.161787458011654,0.15698629278319,1,14311.3352163808,301.775753637089,0.0117647058823529,0.333578431372549,0.028431177772022,1.31284548332771,1.1229442245927,0.024618420811927,NA,0.026881594100824,NA,0.00301813668150762,NA,0.00710779444300549,0.0040771598861109,0.00357625549233345,0.00307730260149088,NA,0.00149342189449022,NA,0.00150906834075381,NA,4,322,314,8,0,18,0,2,0,4.11490765765332,3.69678110995377,3.62767300042561,3.55883413325236,0,3.34031139170983,0,3.342470079746,0
