"","Colony","AntID","Date","Analyst","numUniqueTasks","degreeOfSpecialization","propResting","propBrood","propExploring","propAllogrooming","propAntennatingNestmate","propTrashMaintenance","propNestMaintenance","propSelfMaintenance","propFoodProcessing","numberOfTaskSwitches","numberOfAntennations","interboutInterval","boutLengthBC","boutLengthR","boutLengthFP","boutLengthTM","boutLengthAN","boutLengthNM","boutLengthSM","boutLengthE","boutLengthA","velocity","movementAreaForaging","movementAreaNest","colonySize","totalMass","sinuosityTrailNest","sinuosityTrailForaging","session","exploringLengthForaging","exploringLengthNest","probStop","probReturn","bcDistance","eDistance","fpDistance","rDistance","tmDistance","anDistance","nmDistance","smDistance","aDistance","bcSpeed","eSpeed","fpSpeed","rSpeed","tmSpeed","anSpeed","nmSpeed","smSpeed","aSpeed","bcTime","eTime","fpTime","rTime","tmTime","anTime","nmTime","smTime","aTime","bcjoulesPerMG","ejoulesPerMG","fpjoulesPerMG","rjoulesPerMG","tmjoulesPerMG","anjoulesPerMG","nmjoulesPerMG","smjoulesPerMG","ajoulesPerMG"
"55","17-29","BBB","04_09_2022","Galian_Khanania",8,0.806034482758621,0.0104947526236882,0.00749625187406297,0.827586206896552,0,0.00449775112443778,0.0179910044977511,0.088455772113943,0.0374812593703148,0.00599700149925037,43,2,10.5729166666667,2.5,7,2,12,1.5,14.75,2.5,26.2857142857143,0,28.7366477538535,318124.781857781,134026.879838084,62,0.5442,0.191350924011645,0.20754329833042,1,10805.7754250983,5684.88684830659,0.00680272108843537,0.186394557823129,0.0186355427964274,1.69246597838052,0.0145551985210015,0.0114315899413757,0.0371678400440287,0.000251063046582558,0.201609876771684,0.0628710350781507,NA,0.00372710855928548,0.00306606155503718,0.00363879963025038,0.00163308427733938,0.00309732000366906,8.3687682194186e-05,0.00341711655545226,0.00251484140312603,NA,5,552,4,7,12,3,59,25,0,3.64848569522942,3.5572832435433,3.63630200665354,3.35958014513026,3.56159586750621,3.14581506155339,3.60571713176723,3.48123323658462,0
"56","17-23","YYY","06_11_2021","Mariah_Merriam",2,0.875,0,0.753383458646616,0.246616541353383,0,0,0,0,0,0,3,0,0,250.5,0,0,0,0,0,0,164,0,1.63966908056741,NA,19692,25,0.1207,0.37960554683258,NA,1,NA,650.219193834879,NA,NA,0.0488958179599738,0.0747360627460585,0,NA,NA,NA,NA,NA,NA,9.75964430338798e-05,0.000455707699671089,NA,NA,NA,NA,NA,NA,NA,501,164,0,0,0,0,0,0,0,3.14773400692391,3.19714142329795,NA,0,0,0,0,0,0
"57","17-6","BBB","02_07_2021","Mariah_Merriam",6,0.641858552631579,0.618421052631579,0.0723684210526316,0.174342105263158,0,0.0394736842105263,0,0.0723684210526316,0.0230263157894737,0,20,6,11.6666666666667,44,75.2,0,0,4,44,14,17.6666666666667,0,6.91781761401269,0,101308.821343,17,0.1432,0.246143394471992,0,1,NA,1414.05937818503,0.466666666666667,0.166666666666667,0.0580304686222519,0.127936848568,0,0.0302365471139657,NA,0.0187457003828426,0.122171293890852,0.00606430446516471,NA,0.00131887428686936,0.00120695140158491,NA,8.04163487073556e-05,NA,0.00078107084928511,0.00277662031570118,0.000433164604654622,NA,44,106,0,376,0,24,44,14,0,3.31622964011174,3.30078801270533,NA,3.14536372657666,0,3.24203069250637,3.51735000055624,3.19403122762218,0
"58","17-15","BBB","03_24_2022","Nate_Maslanka",7,0.476351351351351,0.388888888888889,0.024024024024024,0.256756756756757,0,0.0945945945945946,0,0.0435435435435435,0.106606606606607,0.0855855855855856,65,23,5.965625,4,129.5,14.25,0,2.73913043478261,9.66666666666667,10.1428571428571,7.77272727272727,0,23.0793323966459,8584.17458813963,440385.026274866,47,0.2413,0.224263207861756,0.0345198379329282,1,NA,9724.74474356145,0.0476190476190476,0.329474872953134,0.0287191714541637,0.657089881254708,0.203611998845136,0.0305984247438183,NA,0.1869978823386,0.181987865524124,0.13453412899956,NA,0.00179494821588523,0.00384263088453045,0.00357214033061642,0.000118140636076518,NA,0.00296822035458096,0.00627544363876288,0.00189484688731775,NA,16,171,57,259,0,63,29,71,0,3.38191197318497,3.66442392536905,3.62710524528071,3.15056842075736,0,3.54378441925369,4.00007099169465,3.39569465988694,0
"59","17-16","BBB","04_22_2022","Nate_Maslanka",6,0.486526946107784,0.130239520958084,0.140718562874251,0.297904191616766,0,0.0119760479041916,0,0,0.12125748502994,0.297904191616766,45,8,8.01736111111111,18.8,43.5,22.1111111111111,0,1,0,16.2,12.4375,0,19.2051542383128,284335.004798807,120526.032499394,7,NA,0.272700488391347,0.209931668843211,1,4566.33630661238,3155.43612541193,0.0525,0.400833333333333,0.0447329454912741,0.664778697968726,0.496748560169432,0.0368806325316649,NA,0,NA,0.0334425135084965,NA,0.000475882398843342,0.00334059647220466,0.00249622392044941,0.000423915316455918,NA,0,NA,0.000412870537141932,NA,94,199,199,87,0,8,0,81,0,3.19992485929375,3.5951599109485,3.478664644558,3.19275513416037,0,3.134268951,0,3.19123132277435,0
"60","17-25","BBB","04_09_2022","Nate_Maslanka",5,0.674287856071964,0.0704647676161919,0.701649175412294,0.0524737631184408,0,0.119940029985007,0,0,0.055472263868066,0,16,5,11,93.6,23.5,0,0,16,0,18.5,17.5,0,2.92595723933471,NA,37801.8527226498,44,0.2541,0.527187637124477,NA,1,NA,161.160357858515,0.1,0.1,0.0829294921641026,0.0185237389657093,0,0.0101454934369648,NA,0.0757352651405716,NA,0.0207335681597329,NA,0.000177199769581416,0.000529249684734552,NA,0.000215861562488612,NA,0.000946690814257145,NA,0.000560366707019808,NA,468,35,0,47,0,80,0,37,0,3.15871661254325,3.20728776583721,NA,3.16405065123801,0,3.26488072700701,0,3.2115808776785,0
"61","17-1","RRR","06_11_2021","Colleen_Furey",2,0.875,0.715568862275449,0.284431137724551,0,0,0,0,0,0,0,9,0,10.96875,47.5,95.6,0,0,0,0,0,0,0,0.705285385746339,NA,3364.5,12,0.1012,0.17911546639793,NA,1,NA,NA,1,0,0.0298621297591449,NA,NA,0.0237110804576529,NA,NA,NA,NA,NA,0.0001571691039955,NA,NA,4.96047708319098e-05,NA,NA,NA,NA,NA,190,0,0,478,0,0,0,0,0,3.15595304838125,0,0,3.14111275588244,0,0,0,0,0
"62","17-5","PPP","02_07_2021","Colleen_Furey",4,0.748149671052632,0.483552631578947,0,0.15625,0,0.00164473684210526,0,0,0.358552631578947,0,17,1,15.25,0,42,0,0,1,0,43.6,23.75,0,2.90776569026562,NA,36508.5,20,0.3124,0.18919791898496,NA,1,NA,358.172932148722,0.683333333333333,0.15,NA,0.0411683244432252,0,0.0606503426299538,NA,0,NA,0.089238219416619,NA,NA,0.000433350783612897,NA,0.000206293682414809,NA,0,NA,0.000409349630351463,NA,0,95,0,294,0,1,0,218,0,0,3.19405691411246,NA,3.16273060271716,0,3.134268951,0,3.19074555500082,0
"63","17-10","PPP","24_03_2022","Divya_Murala",6,0.79222972972973,0.0105105105105105,0,0.815315315315315,0,0.024024024024024,0.021021021021021,0.0285285285285285,0.100600600600601,0,22,4,8.25,0,7,0,7,4,19,16.75,54.3,0,30.7890613836735,326422.24178488,41209.1293733121,56,0.2808,0.385218462810119,0.16416251070772,1,17905.1446162632,404.248434674296,0,0.41,NA,1.99294281533636,0,0.00335158720634076,0.0459566885316731,0.035890081448675,0.0370433548639054,0.092995307705889,NA,NA,0.00367024459546291,NA,0.000478798172334394,0.00328262060940522,0.00224313009054219,0.00194965025599502,0.00138798966725207,NA,0,543,0,7,14,16,19,67,0,0,3.64064036368737,NA,3.20032713884307,3.58716117441094,3.4437461324918,3.40325569798545,3.32576525875854,0
"64","17-12","BYR","04_22_2022","Divya_Murala",5,0.573933975240715,0.127922971114168,0,0.204951856946355,0,0,0.136176066024759,0,0.0453920220082531,0.485557083906465,23,0,3.875,0,23.25,88.25,99,0,0,6.6,16.5555555555556,0,7.04402776304367,NA,239556.583347987,55,0.199,0.347817292407839,NA,1,NA,2667.6314886469,0.145833333333333,0.341666666666667,NA,0.267666132447235,0.178544856814179,0.0856847319420421,0.00419122994802154,NA,NA,0.0248442816059447,NA,NA,0.00179641699629017,0.00050579279550759,0.000921341203677872,4.23356560406216e-05,NA,NA,0.000752857018361961,NA,0,149,353,93,99,0,0,33,0,0,3.3821146159215,3.2040514970202,3.26138332573409,3.14010986034507,0,0,3.23813812430001,0
"65","17-22","PPP","04_09_2022","Divya_Murala",5,0.618253373313343,0,0.181409295352324,0.437781109445277,0,0.00599700149925037,0,0.166416791604198,0.208395802098951,0,26,1,5.36458333333333,60.5,0,0,0,4,55.5,13.9,26.5454545454545,0,12.3325404266618,NA,110665.578896464,66,0.3205,0.363828866453504,NA,1,NA,5890.99519721548,NA,NA,0.0437721426235444,0.557243842036028,0,NA,NA,0.00570046033728384,0.101891999351252,0.16706728234136,NA,0.000361753244822681,0.00190836932204119,NA,NA,NA,0.00142511508432096,0.000917945940101365,0.00120192289454216,NA,121,292,0,0,0,4,111,139,0,3.18417884034404,3.39756030513095,NA,0,0,3.33088732880015,3.26091489253599,3.30009424635033,0
"66","17-8","GWW","21_01_2022","Divya_Murala",6,0.594827586206897,0,0.455772113943028,0.214392803598201,0.04047976011994,0.00899550224887556,0,0.088455772113943,0.191904047976012,0,27,1,11.8541666666667,76,0,0,0,6,29.5,16,14.3,13.5,11.4943470334696,NA,81168.0909188,53,0.3221,0.467556197499366,NA,1,NA,2936.21257194469,NA,NA,0.28347313173747,0.269177099103812,0,NA,NA,0.0126837234411199,0.0837999386131463,0.168056147400333,0.0287127149229239,0.000932477407031153,0.00188235733639029,NA,NA,NA,0.00211395390685331,0.0014203379425957,0.0013129386515651,0.00106343388603422,304,143,0,0,0,6,59,128,27,3.26291975059006,3.39397151817731,NA,0,0,3.42592412501553,3.33022824248012,3.31541072029427,3.28098737947652
"67","17-11","PPP","03_24_2022","Gailan_khanania",8,0.409295352323838,0.385307346326837,0.0659670164917541,0.109445277361319,0,0.0134932533733133,0.0494752623688156,0.178410794602699,0.133433283358321,0.0644677661169415,34,4,11.46875,22,42.8333333333333,14.3333333333333,16.5,2.25,39.6666666666667,29.6666666666667,6.63636363636364,0,8.72586365875547,84471.1435044009,59627.6718251285,48,0.2707,0.578112962750339,0.476908750644263,1,926.990336830985,1153.71138810264,0.168831168831169,0.28030303030303,0.0346608749653772,0.158313811102615,0.0488686428168575,0.0359569672412922,0.0837476754429795,0.00695141105853954,0.160906450463947,0.0730512389446853,NA,0.000787747158304028,0.00216868234387144,0.00113648006550831,0.000139910378370787,0.00253780834675695,0.000772379006504393,0.00135215504591552,0.000820800437580734,NA,44,73,43,257,33,9,119,89,0,3.24295180060735,3.4334748250428,3.2910653173713,3.15357191953589,3.4844019092409,3.24083150793072,3.32082127550148,3.24751205137156,0
"68","17-13","RRR","04_22_2022","Gailan_Khanania",7,0.704647676161919,0.464767616191904,0.0749625187406297,0.383808095952024,0.0134932533733133,0.00449775112443778,0,0.0134932533733133,0.0449775112443778,0,45,2,15.4458333333333,50,34.4444444444444,0,0,1.5,4.5,3,13.4736842105263,4.5,12.9373112619223,17116.4258327733,146864.613272711,24,0.1294,0.524883997108749,0.477914222079925,1,675.978624288739,5343.0760025343,0.0947368421052632,0.306140350877193,0.0331161867941931,0.608992373612662,0,0.108287711521199,NA,0.000369360235963253,0.0204461128349788,0.133000289938279,0.0131400638818459,0.000662323735883863,0.00237887645942446,NA,0.000349315198455481,NA,0.000123120078654418,0.00227179031499764,0.00443334299794264,0.00146000709798288,50,256,0,310,0,3,9,30,9,3.22564754909411,3.4624746065186,NA,3.18246280454691,0,3.15125541785169,3.44770028812584,3.74592250661615,3.33570126361837
"69","17-17","GBB","09_03_2022","Gailan_Khanania",8,0.772982062780269,0.0224215246636771,0,0.798206278026906,0.0239162929745889,0.0463378176382661,0.00597907324364723,0.0807174887892377,0.0179372197309417,0.00448430493273543,57,11,10.1322916666667,0,7.5,3,1.33333333333333,2.81818181818182,13.5,4,19.7777777777778,2.66666666666667,49.8868332376522,254784,283202,8,0.056,0.142622977646912,0.121103471377362,1,17573.6739416806,12549.9008932637,0.0105820105820106,0.226551226551227,NA,3.07016608052195,0.0058009192007849,0.0605715912821302,0.0112734791326181,0.12919569184189,0.126550117014244,0.0143222777992332,0.0417353199628299,NA,0.00574937468262537,0.00193363973359497,0.00403810608547535,0.00281836978315451,0.0041676029626416,0.00234352068544897,0.0011935231499361,0.00260845749767687,0,534,3,15,4,31,54,12,16,0,3.92749101137955,3.40104677957832,3.69139298725942,3.52311003541588,3.70925923974579,3.45759668823578,3.29893536158618,3.49414913709615
"70","17-29","GPP","04_09_2022","Galian_Khanania",6,0.699587706146926,0.0524737631184408,0,0.51424287856072,0,0.00299850074962519,0.0524737631184408,0,0.047976011994003,0.329835082458771,52,1,7.11458333333333,0,17.5,20,11.6666666666667,2,0,2.46153846153846,15.5909090909091,0,32.3266578031556,307883.469809189,NA,62,0.5442,NA,0.175321065807393,1,14314.935945657,NA,0.0272727272727273,0.41981351981352,NA,1.3328443185094,0.725997206812682,0.0155468813994138,0.0685769590206023,0.00583957734305361,NA,0.0659796396267526,NA,NA,0.00388584349419651,0.00329998730369401,0.000444196611411822,0.00195934168630292,0.00291978867152681,NA,0.00206186373833602,NA,0,343,220,35,35,2,0,32,0,0,3.67038582508265,3.58955719933298,3.19555327682112,3.40459279232026,3.53710246138165,0,3.41873741809909,0
"71","17-23","GGG","06_11_2021","Mariah_Merriam",1,1,0,1,0,0,0,0,0,0,0,1,0,0,664,0,0,0,0,0,0,0,0,1.07185894925891,NA,3905.3073025,25,0.1207,0.517456064279086,NA,1,NA,NA,NA,NA,0.0809734192315231,NA,NA,NA,NA,NA,NA,NA,NA,0.000121947920529402,NA,NA,NA,NA,NA,NA,NA,NA,664,0,0,0,0,0,0,0,0,3.15109369910237,0,0,0,0,0,0,0,0
"72","17-6","PPP","02_07_2021","Mariah_Merriam",5,0.608347039473684,0.121710526315789,0.28125,0.453947368421053,0,0.0148026315789474,0,0,0.128289473684211,0,15,4,2.625,171,74,0,0,2.25,0,26,46,0,13.0850964195151,174987.5,164845,17,0.1432,0.181655215355017,0.16333464204263,1,2688.32635298389,2518.57765818825,0.0833333333333333,0.354166666666667,0.266186367408,0.609361907230868,0,0,NA,0.00407347681674491,NA,0.010184673734899,NA,0.0015566454234386,0.00220783299721329,NA,0,NA,0.000452608535193878,NA,0.000130572740191013,NA,171,276,0,74,0,9,0,78,0,3.34903413125375,3.43887631018219,NA,3.134268951,0,3.19671384190558,0,3.15228363672169,0
"73","17-15","PPP","03_24_2022","Nate_Maslanka",7,0.611486486486487,0.00900900900900901,0.0375375375375375,0.542042042042042,0,0.162162162162162,0,0.0600600600600601,0.0165165165165165,0.172672672672673,117,35,19.6264963624339,12.5,6,5.75,0,3.08571428571429,8,1.22222222222222,8.02222222222222,0,49.3534345042077,60690.8372974869,522894.680478077,47,0.2413,0.139597015056248,0.128092191838692,1,2318.64536506487,22462.7555132753,0.0037037037037037,0.271296296296296,0.0824569811237041,1.82610220041554,0.539912079235588,0.0395360209468458,NA,0.388824493512625,0.19486517749912,0.00726353246621067,NA,0.00329827924494816,0.00505845484879652,0.00469488764552686,0.0065893368244743,NA,0.00360022679178357,0.004871629437478,0.000660321133291879,NA,25,361,115,6,0,108,40,11,0,3.58932154416135,3.83216710497229,3.78200694982786,4.04337778821664,0,3.63098024070641,3.80639142572405,3.22537125668984,0
"74","17-16","WWR","04_22_2022","Nate_Maslanka",6,0.75374251497006,0.0119760479041916,0,0.583832335329341,0,0.00598802395209581,0,0.0703592814371257,0.0194610778443114,0.308383233532934,37,4,12.4236111111111,0,8,18.7272727272727,0,1,23.5,6.5,22.9411764705882,0,33.1366230298784,283680.665262683,134445.744211975,7,NA,0.156606596435576,0.182819178679067,1,10803.9315735512,3622.48202511227,0.0117647058823529,0.385561497326203,NA,1.44890468346458,0.731779323408333,0.0223187392846486,NA,0,0.165149281591733,0.0146527235334991,NA,NA,0.00371514021401173,0.00355232681266181,0.00278984241058108,NA,0,0.00351381450195176,0.00112713257949993,NA,0,390,206,8,0,4,47,13,0,0,3.64683446252649,3.62437164025357,3.51917420891317,0,3.134268951,3.61905822511928,3.28977567588501,0
"75","17-25","PPP","04_09_2022","Nate_Maslanka",7,0.540854572713643,0.0104947526236882,0,0.301349325337331,0,0.0914542728635682,0.295352323838081,0.0134932533733133,0.0704647676161919,0.217391304347826,81,26,11.9253224206349,0,7,8.05555555555556,32.8333333333333,2.34615384615385,4.5,11.75,8.375,0,22.230290047935,268794.382904982,54392.917373457,44,0.2541,0.293406238597525,0.186179338538953,1,5553.97410809073,1496.49755696689,0.00694444444444444,0.307336182336182,NA,0.567776108139244,0.391531506021623,0.0112471415224374,0.259671726058128,0.116869039316709,0.0170165029510423,0.0522748234950878,NA,NA,0.00282475675691166,0.00270021728290774,0.00160673450320534,0.00131813058912755,0.00191588589043785,0.00189072255011581,0.00111223028712953,NA,0,201,145,7,197,61,9,47,0,0,3.52399122489525,3.50680892879851,3.35594475462556,3.3161270346133,3.39859734101741,3.39512563883098,3.28771965628097,0
"76","17-1","GGG","06_11_2021","Colleen_Furey",3,0.789109281437126,0.279940119760479,0.643712574850299,0,0,0,0,0,0.0763473053892216,0,10,0,3.875,86,62.3333333333333,0,0,0,0,25.5,0,0,1.2156603546585,NA,8346,12,0.1012,0.348947785991132,NA,1,NA,NA,0.3,0.65,0.0889800575809337,NA,NA,0.00114939797924571,NA,NA,NA,0.00184381763927428,NA,0.000206930366467288,NA,NA,6.14651325799846e-06,NA,NA,NA,3.61532870445938e-05,NA,430,0,0,187,0,0,0,51,0,3.1628184438936,0,0,3.13511696494583,0,0,0,3.13925689950259,0
"77","17-5","GRG","02_07_2021","Colleen_Furey",4,0.850945723684211,0.766447368421053,0.212171052631579,0.0115131578947368,0,0,0,0,0.00986842105263158,0,12,0,14.5625,25.8,93.2,0,0,0,0,6,7,0,1.09702824076047,NA,12097.5,20,0.3124,0.304894543026318,NA,1,NA,27,0.266666666666667,0.2,0.0165775902367492,0.00310337454396342,0,0.0521058597716062,NA,NA,NA,0.00161016484955985,NA,0.000128508451447668,0.000443339220566203,NA,0.000111815149724477,NA,NA,NA,0.000268360808259976,NA,129,7,0,466,0,0,0,6,0,3.15199883368473,3.19543498546412,NA,3.14969571449032,0,0,0,3.1712937971796,0
"78","17-10","GRB","24_03_2022","Divya_Murala",5,0.695945945945946,0.366366366366366,0,0.298798798798799,0,0.0285285285285285,0.286786786786787,0,0.0195195195195195,0,34,5,13.65625,0,30.5,0,27.2857142857143,3.8,0,6.5,16.5833333333333,0,13.1317706096815,229846.216151377,NA,56,0.2808,NA,0.368345014788827,1,5182.72157708026,NA,0.239880952380952,0.25297619047619,NA,0.487584378268234,0,0.176126005623421,0.237111338146432,0.0256673963091409,NA,0.0134325025977426,NA,NA,0.00245017275511676,NA,0.000721827891899266,0.00124142061856771,0.00135091559521794,NA,0.00103326943059558,NA,0,199,0,244,191,19,0,13,0,0,3.47231111878094,NA,3.23385713915237,3.30554361567506,3.32065027262024,0,3.27682569010784,0
"79","17-12","YPY","04_22_2022","Divya_Murala",6,0.627751031636864,0.0357634112792297,0.155433287482806,0.540577716643741,0,0.0206327372764787,0,0,0.195323246217331,0.0522696011004127,33,4,12.09375,37.6666666666667,13,9.5,0,3.75,0,20.2857142857143,30.2307692307692,0,22.2142093954221,98729.3708544861,314336.351376267,55,0.199,0.195828801973468,0.314464931090307,1,1916.23907953295,10888.7730920828,0.0820512820512821,0.268315018315018,0.0354131569092628,1.39697325559498,0.148113620028907,0.0336373252350051,NA,0.0432012258345066,NA,0.073121744558704,NA,0.000313390769108521,0.00355463932721369,0.00389772684286598,0.00129374327826943,NA,0.00288008172230044,NA,0.000514941863089465,NA,113,393,38,26,0,15,0,142,0,3.17750643077801,3.62469069017792,3.67202533108741,3.31276239862524,0,3.53162422595338,0,3.20531376337758,0
"80","17-22","BYG","04_09_2022","Divya_Murala",7,0.57983508245877,0.616191904047976,0.103448275862069,0.12143928035982,0,0.00599700149925037,0.0644677661169415,0,0.0224887556221889,0.0659670164917541,22,1,17.28125,69,68.5,14.6666666666667,43,4,0,7.5,10.125,0,7.69004193823902,187112.748598466,3015.39574394623,66,0.3205,0.371471920200661,0.336773915323325,1,2868.14643370852,14.378847387364,0.458333333333333,0.159722222222222,0.0417429613784333,0.202644920950683,0.12170409667618,0.0741361511074957,0.00684510185124319,0.0271918851762117,NA,0.0563834471458738,NA,0.000604970454759902,0.00250178914753929,0.00276600219718592,0.000180379929701936,0.000159188415145191,0.00679797129405293,NA,0.00375889647639158,NA,69,81,44,411,43,4,0,15,0,3.21773470807504,3.47943246038884,3.51588505413842,3.15915536863454,3.15623164600953,4.07216239053617,0,3.65287136819283,0
"81","17-8","BBB","21_01_2022","Divya_Murala",6,0.618440779610195,0,0.0119940029985007,0.574212893553223,0,0.00449775112443778,0.100449775112444,0,0.122938530734633,0.185907046476762,45,1,16.9722222222222,8,0,17.7142857142857,6.7,3,0,9.11111111111111,22.5294117647059,0,34.9228624847029,280274,135970,53,0.3221,0.228489955114094,0.19861115374795,1,12591.3438031127,2821.72647465474,NA,NA,0.0122117406622391,1.70182182307231,0.347350257549427,NA,0.202977594494045,0.0227266840450866,NA,0.144169118605848,NA,0.00152646758277989,0.0044433990158546,0.00280121175443086,NA,0.00302951633573202,0.00757556134836219,NA,0.00175815998299815,NA,8,383,124,0,67,3,0,82,0,3.34487059517087,3.74730990188741,3.52074279938631,0,3.55224122145316,4.17944389836237,0,3.37683642332098,0
"82","17-11","GRG","03_24_2022","Gailan_khanania",8,0.444527736131934,0.0449775112443778,0,0.295352323838081,0.0269865067466267,0.0269865067466267,0.208395802098951,0.188905547226387,0.146926536731634,0.0614692653673163,112,10,12.5808035714286,0,15,2.73333333333333,12.6363636363636,1.8,15.75,6.53333333333333,4.69047619047619,2,22.8044399228741,340713.876677625,65023.8628022057,48,0.2707,0.26479695135878,0.261578768084134,1,9400.03012341517,523.521107202446,0.019047619047619,0.285384456813028,NA,0.587461904404383,0.0489042512217976,0.0325624710441338,0.139646523863479,0.0628129500100131,0.179996866633068,0.192999406682946,0.0471090616932183,NA,0.00298204012388012,0.0011927866151658,0.00108541570147113,0.00100465125081639,0.00348960833388961,0.00142854656057991,0.00196938170084638,0.00261717009406768,0,197,41,30,139,18,126,98,18,0,3.54569108675799,3.29883374433904,3.28402013727963,3.27287733523764,3.61571858079897,3.33136075814134,3.40597797966011,3.49535118497821
"83","17-13","YBW","04_22_2022","Gailan_Khanania",7,0.735007496251874,0.0104947526236882,0,0.503748125937031,0.00599700149925037,0.00899550224887556,0,0.0524737631184408,0.0464767616191904,0.371814092953523,32,2,7.30208333333333,0,7,62,0,3,35,4.42857142857143,22.4,2,23.4276769384303,314259.643575807,140607.694734828,24,0.1294,0.16283579101468,0.345182101131105,1,9118.92134168288,2945.18602597553,0.0111111111111111,0.233730158730159,NA,1.24562533382532,0.224977175066996,0.0106081816083369,NA,0.00928919366156375,0.0922053860070889,0.0695677677525287,0.00367439527994606,NA,0.00370721825543249,0.000907166028495952,0.00151545451547671,NA,0.00154819894359396,0.00263443960020254,0.00224412154040415,0.000918598819986514,0,336,248,7,0,6,35,31,4,0,3.64574149630784,3.25942762406482,3.34335115898527,0,3.34786879858451,3.49773380117461,3.44388291952443,3.26100496819747
"84","17-17","BBB","09_03_2022","Gailan_Khanania",8,0.607062780269058,0.35575485799701,0.243647234678625,0.273542600896861,0.0343796711509716,0.0284005979073244,0,0.0149476831091181,0.0448430493273543,0.00448430493273543,44,9,9.82738095238095,163,59.5,3,0,2.11111111111111,10,7.5,9.63157894736842,4.6,18.7686993082837,205056,265042,8,0.056,0.573441325169843,0.129866304690115,1,4020.75816096926,6229.3085312442,0.0507518796992481,0.167919799498747,0.0688943207322337,0.812361318940966,0.0245627366721063,0.128429945781571,NA,0.0286919584106941,0.0270219140809251,0.0654856884318545,0.0256230892858919,0.000422664544369532,0.00443913289038779,0.0081875788907021,0.00053962162093097,NA,0.00151010307424706,0.00270219140809251,0.00218285628106182,0.00111404736025617,163,183,3,238,0,19,10,30,23,3.19258256930485,3.74672131877717,4.26388191862053,3.20871874730111,0,3.34261283847695,3.50708129226983,3.4354303559105,3.28797035180334
"85","17-29","YGB","04_09_2022","Galian_Khanania",8,0.696214392803598,0.0104947526236882,0.173913043478261,0.667166416791604,0.0299850074962519,0.00449775112443778,0.0629685157421289,0.0284857571214393,0.0224887556221889,0,29,2,3.0375,38.6666666666667,7,0,42,1.5,19,3,34.2307692307692,6.66666666666667,22.1878415298294,311128.909426934,132106.814021859,62,0.5442,0.368459186034462,0.266582535780771,1,10162.0104778093,1365.73334395351,0.010989010989011,0.197069597069597,0.0752179645573952,1.32404671026459,0,0.00284298005460519,0.0776580376400778,0.0092144871440951,0.04369224478378,0.0164557874959469,0.0377613573237114,0.000648430728943062,0.00297538586576312,NA,0.000406140007800742,0.00184900089619233,0.00307149571469837,0.00229959183072526,0.00109705249972979,0.00188806786618557,116,445,0,7,42,3,19,15,20,3.22373077723651,3.54477302094645,NA,3.19030273407624,3.38936944131133,3.55803297643788,3.45153597057906,3.28562562754605,3.39475938093807
"86","17-23","GBP","06_11_2021","Mariah_Merriam",5,0.685526315789474,0.407518796992481,0,0.42406015037594,0,0.087218045112782,0,0,0.0466165413533835,0.0345864661654135,53,11,11.6875,0,67.75,2.55555555555556,0,5.27272727272727,0,6.2,11.75,0,18.719976790967,306903,129765.873595,25,0.1207,0.332576150632591,0.137462386247275,1,7797.18758697283,1230.50486726681,0.0785984848484848,0.392676767676768,NA,0.928790632209314,0.037944078079009,0.21922724465713,NA,0.0687436769615043,NA,0.0292981660869677,NA,NA,0.00329358380216069,0.0016497425251743,0.000808956622351035,NA,0.00118523580968111,NA,0.000945102131837666,NA,0,282,23,271,0,58,0,31,0,0,3.58867372957144,3.36187842805655,3.2458779996637,0,3.29779198487567,0,3.2646615417892,0
"87","17-6","GRG","02_07_2021","Mariah_Merriam",5,0.724095394736842,0.495065789473684,0.0115131578947368,0.258223684210526,0,0.0115131578947368,0,0,0.223684210526316,0,20,2,9,7,50.1666666666667,0,0,3.5,0,34,22.4285714285714,0,5.5112978740082,NA,103060.95860317,17,0.1432,0.222979826231911,NA,1,NA,1589.78056977095,0.232142857142857,0.196428571428571,0.000861723521539763,0.178539145268665,0,0.039730104330835,NA,0.00202373044439622,NA,0.109960445987055,NA,0.000123103360219966,0.00113719200808067,NA,0.000131993702095797,NA,0.000289104349199461,NA,0.000808532691081287,NA,7,157,0,301,0,7,0,136,0,3.15125311126501,3.29116354171486,NA,3.15247968209915,0,3.17415571437789,0,3.24581951127952,0
"88","17-15","GRB","03_24_2022","Nate_Maslanka",8,0.510135135135135,0.00900900900900901,0.0570570570570571,0.426426426426426,0,0.0735735735735736,0.0225225225225225,0.222222222222222,0.0510510510510511,0.138138138138138,113,26,13.0619874338624,19,6,6.13333333333333,15,1.88461538461538,11.3846153846154,3.77777777777778,6.17391304347826,0,47.0253224432218,61831.2529810188,533535.620069011,47,0.2413,0.151534846526552,0.128458023731446,1,1833.00450602407,18974.6959402858,0.0031055900621118,0.353644423209641,0.0639312318845734,1.47627798743562,0.476574021358177,0.0399406578000097,0.030430777219891,0.116156025207617,0.608837591020172,0.104319541775807,NA,0.00168240083906772,0.00519816192759021,0.00518015240606715,0.00665677630000162,0.00202871848132607,0.00237053112668607,0.00411376750689305,0.0030682218169355,NA,38,284,92,6,15,49,148,34,0,3.36638418676338,3.8514420249432,3.8489573112904,4.05268218785689,3.41416447747362,3.46132322877845,3.70183174136768,3.55758128767653,0
